temperature,humidity,wind_speed,drought_index,vegetation,slope,risk
37.38,7.25,22.0,178.57,0.74,30.45,1
29.77,7.68,17.49,404.28,0.03,8.95,1
37.75,54.04,17.64,471.41,0.81,0.29,1
26.91,18.99,76.58,269.28,0.09,4.35,1
44.66,59.34,64.57,583.79,0.54,43.79,2
44.03,60.67,68.94,461.88,0.7,2.06,2
22.98,31.04,6.38,186.23,0.1,12.51,1
27.96,23.86,21.36,749.32,0.65,27.41,1
20.99,70.62,13.07,303.56,0.99,28.8,0
44.5,74.84,18.32,25.68,0.32,12.05,1
22.38,89.86,70.11,251.74,0.66,17.8,1
24.27,27.2,44.91,210.19,0.58,40.4,1
28.98,24.74,79.8,407.62,0.09,2.12,2
42.72,42.99,5.08,305.3,1.0,23.81,1
48.99,82.47,0.92,576.58,0.68,24.16,1
18.9,44.13,36.3,763.05,0.88,11.85,1
32.52,21.08,73.01,696.41,0.3,28.75,2
41.69,53.54,62.29,424.28,0.0,14.59,1
15.68,88.62,70.3,665.33,0.31,2.61,1
18.0,48.74,5.54,608.48,0.77,5.78,1
31.63,54.48,21.2,697.95,0.42,9.53,1
22.04,33.05,79.61,519.9,0.44,23.29,1
19.24,25.22,27.05,470.65,0.23,9.91,1
23.01,86.49,68.77,56.69,0.24,30.1,1
22.5,16.91,74.84,456.83,0.47,35.31,2
18.39,43.79,33.89,373.62,0.73,30.3,1
49.45,13.86,32.21,271.44,0.86,11.19,2
29.77,30.07,19.98,738.61,0.44,38.76,2
34.26,9.55,79.94,668.82,0.97,41.69,2
32.0,24.24,32.08,46.91,0.38,44.34,1
24.28,75.57,36.4,338.41,0.96,44.79,1
20.42,31.7,77.5,463.34,0.54,33.66,1
17.0,57.58,40.23,682.18,0.16,43.24,1
35.83,65.77,18.82,95.91,0.89,11.08,1
35.81,60.74,33.54,466.94,0.52,42.06,1
23.35,40.62,53.74,240.0,0.32,33.83,1
17.54,46.25,79.88,796.88,0.07,9.59,1
45.83,84.13,29.56,126.2,0.83,31.66,1
36.41,93.85,52.32,6.26,0.82,13.47,1
19.7,15.39,8.56,442.58,0.27,27.22,1
40.12,23.32,50.74,211.19,0.49,40.74,2
29.83,29.9,0.28,616.9,0.64,11.79,1
40.94,54.65,34.21,7.74,0.08,39.74,1
44.21,57.43,11.85,101.96,0.31,40.45,1
42.86,82.46,71.91,168.06,0.25,4.63,1
29.22,60.86,12.36,743.9,0.86,43.93,1
43.38,84.33,1.98,589.25,0.33,41.89,1
43.38,29.01,62.99,86.48,0.87,38.64,1
22.79,78.49,36.82,244.15,0.8,10.24,1
